month,atoll_code,atoll_label,establishment_type,amount_mvr
2021-04-01,HA,HA.,Resorts,689072.58
2021-05-01,HA,HA.,Resorts,417806.52
2021-06-01,HA,HA.,Resorts,425589.24
2021-07-01,HA,HA.,Resorts,410268.00
2021-07-01,HA,HA.,Guesthouse,4420.80
2021-08-01,HA,HA.,Resorts,631721.64
2021-08-01,HA,HA.,Guesthouse,5967.00
2021-09-01,HA,HA.,Resorts,587965.68
2021-09-01,HA,HA.,Guesthouse,2485.08
2021-10-01,HA,HA.,Resorts,240050.88
2021-10-01,HA,HA.,Guesthouse,30009.75
2021-11-01,HA,HA.,Resorts,675468.90
2021-12-01,HA,HA.,Resorts,740689.92
2021-12-01,HA,HA.,Guesthouse,34324.98
2022-01-01,HA,HA.,Resorts,855892.98
2022-01-01,HA,HA.,Guesthouse,25084.68
2022-02-01,HA,HA.,Resorts,617553.72
2022-02-01,HA,HA.,Guesthouse,34430.82
2022-03-01,HA,HA.,Resorts,193443.84
2022-03-01,HA,HA.,Hotels,52992.00
2022-03-01,HA,HA.,Guesthouse,55284.44
2022-04-01,HA,HA.,Resorts,531346.92
2022-04-01,HA,HA.,Guesthouse,34977.36
2022-05-01,HA,HA.,Resorts,1018992.48
2022-05-01,HA,HA.,Guesthouse,25589.40
2022-06-01,HA,HA.,Resorts,565782.90
2022-06-01,HA,HA.,Guesthouse,9075.24
2022-07-01,HA,HA.,Resorts,386607.18
2022-07-01,HA,HA.,Guesthouse,276.48
2022-08-01,HA,HA.,Resorts,596371.68
2022-09-01,HA,HA.,Resorts,487641.36
2022-09-01,HA,HA.,Guesthouse,8286.12
2022-10-01,HA,HA.,Resorts,288147.36
2022-10-01,HA,HA.,Guesthouse,6905.58
2022-11-01,HA,HA.,Resorts,546255.48
2022-11-01,HA,HA.,Guesthouse,1932.84
2022-12-01,HA,HA.,Resorts,695372.04
2022-12-01,HA,HA.,Guesthouse,13730.40
2023-01-01,HA,HA.,Resorts,658667.58
2023-01-01,HA,HA.,Guesthouse,27065.76
2023-02-01,HA,HA.,Resorts,860947.20
2023-02-01,HA,HA.,Guesthouse,26643.33
2023-03-01,HA,HA.,Resorts,896501.10
2023-03-01,HA,HA.,Guesthouse,57124.59
2023-04-01,HA,HA.,Resorts,782613.84
2023-04-01,HA,HA.,Guesthouse,28502.10
2023-05-01,HA,HA.,Resorts,498984.00
2023-05-01,HA,HA.,Guesthouse,25420.00
2023-06-01,HA,HA.,Resorts,630076.26
2023-06-01,HA,HA.,Guesthouse,9852.81
2023-07-01,HA,HA.,Resorts,674005.50
2023-07-01,HA,HA.,Guesthouse,3676.80
2023-08-01,HA,HA.,Resorts,488958.90
2023-08-01,HA,HA.,Guesthouse,27891.55
2023-09-01,HA,HA.,Resorts,751904.40
2023-09-01,HA,HA.,Guesthouse,11628.46
2023-10-01,HA,HA.,Resorts,869528.04
2023-10-01,HA,HA.,Guesthouse,13593.92
2023-11-01,HA,HA.,Resorts,602526.48
2023-11-01,HA,HA.,Guesthouse,19135.37
2023-12-01,HA,HA.,Resorts,701294.22
2023-12-01,HA,HA.,Guesthouse,32769.83
2024-01-01,HA,HA.,Resorts,576614.16
2024-01-01,HA,HA.,Guesthouse,59721.93
2024-02-01,HA,HA.,Resorts,1344556.32
2024-02-01,HA,HA.,Guesthouse,24993.10
2024-03-01,HA,HA.,Resorts,1131742.98
2024-03-01,HA,HA.,Guesthouse,75772.41
2024-04-01,HA,HA.,Resorts,911849.04
2024-04-01,HA,HA.,Guesthouse,43561.53
2024-05-01,HA,HA.,Resorts,848615.64
2024-05-01,HA,HA.,Guesthouse,38993.19
2024-06-01,HA,HA.,Resorts,13354.50
2024-06-01,HA,HA.,Guesthouse,8841.60
2024-07-01,HA,HA.,Resorts,559978.98
2024-07-01,HA,HA.,Guesthouse,6685.95
2024-08-01,HA,HA.,Resorts,589526.04
2024-08-01,HA,HA.,Guesthouse,8641.08
2024-09-01,HA,HA.,Resorts,892309.80
2024-09-01,HA,HA.,Guesthouse,10145.34
2024-10-01,HA,HA.,Resorts,507987.24
2024-10-01,HA,HA.,Guesthouse,21697.08
2024-11-01,HA,HA.,Resorts,4745196.48
2024-11-01,HA,HA.,Guesthouse,317636.30
2024-12-01,HA,HA.,Resorts,5356257.06
2024-12-01,HA,HA.,Guesthouse,646516.23
2024-12-01,HA,HA.,Vessels,276.48
2025-01-01,HA,HA.,Resorts,1006965.84
2025-01-01,HA,HA.,Guesthouse,17881.05
2025-02-01,HA,HA.,Resorts,1264988.16
2025-02-01,HA,HA.,Guesthouse,41291.40
2025-03-01,HA,HA.,Resorts,3053957.52
2025-03-01,HA,HA.,Guesthouse,35575.56
2025-04-01,HA,HA.,Resorts,1753558.56
2025-04-01,HA,HA.,Guesthouse,141867.54
2025-05-01,HA,HA.,Resorts,1941566.04
2025-05-01,HA,HA.,Guesthouse,32730.30
2025-06-01,HA,HA.,Resorts,1177422.00
2025-06-01,HA,HA.,Guesthouse,25112.45
2025-07-01,HA,HA.,Resorts,1010362.32
2025-07-01,HA,HA.,Guesthouse,9882.91
2025-08-01,HA,HA.,Resorts,1644535.68
2025-08-01,HA,HA.,Vessels,553.32
2025-09-01,HA,HA.,Resorts,1804192.08
2025-09-01,HA,HA.,Guesthouse,28588.20
2025-10-01,HA,HA.,Resorts,996160.44
2025-10-01,HA,HA.,Guesthouse,7377.60
2025-11-01,HA,HA.,Resorts,1244047.80
2025-11-01,HA,HA.,Guesthouse,26928.24
2025-12-01,HA,HA.,Resorts,1524949.92
2025-12-01,HA,HA.,Guesthouse,16968.48
2019-01-01,HDh,HDh.,Resorts,179938.20
2019-01-01,HDh,HDh.,Hotels,211692.00
2019-01-01,HDh,HDh.,Guesthouse,9153.57
2019-02-01,HDh,HDh.,Resorts,266179.68
2019-02-01,HDh,HDh.,Hotels,255003.36
2019-02-01,HDh,HDh.,Guesthouse,8197.65
2019-03-01,HDh,HDh.,Resorts,276480.00
2019-03-01,HDh,HDh.,Hotels,280967.88
2019-03-01,HDh,HDh.,Guesthouse,14046.33
2019-04-01,HDh,HDh.,Hotels,266700.24
2019-04-01,HDh,HDh.,Guesthouse,5059.41
2019-05-01,HDh,HDh.,Resorts,356018.58
2019-05-01,HDh,HDh.,Hotels,222842.88
2019-05-01,HDh,HDh.,Guesthouse,5475.48
2019-06-01,HDh,HDh.,Resorts,11390.64
2019-06-01,HDh,HDh.,Hotels,146626.56
2019-07-01,HDh,HDh.,Resorts,17027.40
2019-07-01,HDh,HDh.,Hotels,89521.20
2019-07-01,HDh,HDh.,Guesthouse,2993.25
2019-08-01,HDh,HDh.,Resorts,90573.96
2019-08-01,HDh,HDh.,Hotels,199519.92
2019-09-01,HDh,HDh.,Resorts,122677.20
2019-09-01,HDh,HDh.,Hotels,247472.70
2019-09-01,HDh,HDh.,Guesthouse,967.05
2019-10-01,HDh,HDh.,Resorts,224983.08
2019-10-01,HDh,HDh.,Hotels,176324.64
2019-10-01,HDh,HDh.,Guesthouse,690.75
2019-11-01,HDh,HDh.,Resorts,314755.56
2019-11-01,HDh,HDh.,Hotels,236664.54
2019-11-01,HDh,HDh.,Guesthouse,3409.02
2019-12-01,HDh,HDh.,Resorts,54197.40
2019-12-01,HDh,HDh.,Hotels,203929.20
2019-12-01,HDh,HDh.,Guesthouse,459.30
2020-01-01,HDh,HDh.,Resorts,140820.90
2020-01-01,HDh,HDh.,Hotels,234547.20
2020-01-01,HDh,HDh.,Guesthouse,7830.15
2020-02-01,HDh,HDh.,Resorts,175315.14
2020-02-01,HDh,HDh.,Hotels,252468.48
2020-02-01,HDh,HDh.,Guesthouse,4500.30
2020-03-01,HDh,HDh.,Hotels,247241.82
2020-03-01,HDh,HDh.,Guesthouse,12569.49
2020-04-01,HDh,HDh.,Guesthouse,828.72
2020-05-01,HDh,HDh.,Hotels,150036.48
2020-05-01,HDh,HDh.,Guesthouse,2350.08
2020-06-01,HDh,HDh.,Guesthouse,184.08
2020-10-01,HDh,HDh.,Guesthouse,550.44
2020-11-01,HDh,HDh.,Hotels,15380.70
2020-12-01,HDh,HDh.,Hotels,19789.92
2021-01-01,HDh,HDh.,Hotels,40418.40
2021-02-01,HDh,HDh.,Hotels,79838.64
2021-02-01,HDh,HDh.,Guesthouse,1889.28
2021-03-01,HDh,HDh.,Hotels,54005.76
2021-03-01,HDh,HDh.,Guesthouse,7551.81
2021-04-01,HDh,HDh.,Hotels,46268.64
2021-04-01,HDh,HDh.,Guesthouse,3256.77
2021-05-01,HDh,HDh.,Hotels,105730.86
2021-06-01,HDh,HDh.,Resorts,3037.32
2021-06-01,HDh,HDh.,Hotels,98206.68
2021-07-01,HDh,HDh.,Hotels,23516.10
2021-07-01,HDh,HDh.,Guesthouse,8749.50
2021-08-01,HDh,HDh.,Hotels,48705.54
2021-09-01,HDh,HDh.,Hotels,165672.00
2021-09-01,HDh,HDh.,Guesthouse,3313.44
2021-10-01,HDh,HDh.,Resorts,209945.28
2021-10-01,HDh,HDh.,Hotels,171135.18
2021-10-01,HDh,HDh.,Guesthouse,184.08
2021-11-01,HDh,HDh.,Hotels,226013.40
2021-11-01,HDh,HDh.,Guesthouse,1148.58
2021-12-01,HDh,HDh.,Resorts,48168.30
2021-12-01,HDh,HDh.,Hotels,231706.98
2021-12-01,HDh,HDh.,Guesthouse,7180.56
2022-01-01,HDh,HDh.,Resorts,559503.42
2022-01-01,HDh,HDh.,Hotels,230345.44
2022-01-01,HDh,HDh.,Guesthouse,10809.30
2022-02-01,HDh,HDh.,Resorts,120729.60
2022-02-01,HDh,HDh.,Hotels,253762.26
2022-02-01,HDh,HDh.,Guesthouse,22230.36
2022-03-01,HDh,HDh.,Hotels,225866.16
2022-03-01,HDh,HDh.,Guesthouse,11880.27
2022-04-01,HDh,HDh.,Hotels,223051.50
2022-04-01,HDh,HDh.,Guesthouse,12649.77
2022-05-01,HDh,HDh.,Hotels,210909.00
2022-05-01,HDh,HDh.,Guesthouse,7365.84
2022-06-01,HDh,HDh.,Resorts,963450.24
2022-06-01,HDh,HDh.,Hotels,158573.52
2022-06-01,HDh,HDh.,Guesthouse,7559.46
2022-07-01,HDh,HDh.,Guesthouse,1290.03
2022-08-01,HDh,HDh.,Hotels,194891.45
2022-08-01,HDh,HDh.,Guesthouse,598.77
2022-09-01,HDh,HDh.,Resorts,411675.96
2022-09-01,HDh,HDh.,Hotels,228888.00
2022-10-01,HDh,HDh.,Resorts,430541.64
2022-10-01,HDh,HDh.,Hotels,190647.00
2022-10-01,HDh,HDh.,Guesthouse,3313.14
2022-11-01,HDh,HDh.,Hotels,224671.26
2022-11-01,HDh,HDh.,Guesthouse,276.48
2022-12-01,HDh,HDh.,Resorts,499469.40
2022-12-01,HDh,HDh.,Hotels,194699.40
2022-12-01,HDh,HDh.,Guesthouse,5065.20
2023-01-01,HDh,HDh.,Resorts,257590.80
2023-01-01,HDh,HDh.,Hotels,193055.40
2023-01-01,HDh,HDh.,Guesthouse,9719.19
2023-02-01,HDh,HDh.,Resorts,283760.10
2023-02-01,HDh,HDh.,Hotels,280720.80
2023-02-01,HDh,HDh.,Guesthouse,21183.00
2023-03-01,HDh,HDh.,Hotels,244826.40
2023-03-01,HDh,HDh.,Guesthouse,26347.02
2023-04-01,HDh,HDh.,Resorts,553367.22
2023-04-01,HDh,HDh.,Hotels,247771.68
2023-04-01,HDh,HDh.,Guesthouse,20558.58
2023-05-01,HDh,HDh.,Resorts,76800.00
2023-05-01,HDh,HDh.,Hotels,179678.00
2023-05-01,HDh,HDh.,Guesthouse,9943.00
2023-06-01,HDh,HDh.,Resorts,164950.84
2023-06-01,HDh,HDh.,Hotels,89864.46
2023-06-01,HDh,HDh.,Guesthouse,2256.45
2023-07-01,HDh,HDh.,Hotels,47923.20
2023-07-01,HDh,HDh.,Guesthouse,4512.72
2023-08-01,HDh,HDh.,Hotels,121321.62
2023-08-01,HDh,HDh.,Guesthouse,1468.14
2023-09-01,HDh,HDh.,Hotels,210404.88
2023-10-01,HDh,HDh.,Hotels,171102.36
2023-10-01,HDh,HDh.,Guesthouse,2621.85
2023-11-01,HDh,HDh.,Resorts,333984.08
2023-11-01,HDh,HDh.,Hotels,231276.54
2023-11-01,HDh,HDh.,Guesthouse,1289.22
2023-12-01,HDh,HDh.,Hotels,193778.40
2023-12-01,HDh,HDh.,Guesthouse,2855.10
2024-01-01,HDh,HDh.,Resorts,802208.38
2024-01-01,HDh,HDh.,Hotels,214763.34
2024-01-01,HDh,HDh.,Guesthouse,6489.69
2024-02-01,HDh,HDh.,Resorts,256691.60
2024-02-01,HDh,HDh.,Hotels,237733.68
2024-02-01,HDh,HDh.,Guesthouse,38160.27
2024-03-01,HDh,HDh.,Resorts,286677.60
2024-03-01,HDh,HDh.,Hotels,271680.12
2024-03-01,HDh,HDh.,Guesthouse,32834.64
2024-04-01,HDh,HDh.,Resorts,268379.40
2024-04-01,HDh,HDh.,Hotels,220446.72
2024-04-01,HDh,HDh.,Guesthouse,33941.52
2024-05-01,HDh,HDh.,Resorts,17775.30
2024-05-01,HDh,HDh.,Hotels,220320.00
2024-05-01,HDh,HDh.,Guesthouse,9992.49
2024-06-01,HDh,HDh.,Resorts,20877303.34
2024-06-01,HDh,HDh.,Hotels,98234.64
2024-06-01,HDh,HDh.,Guesthouse,1751.76
2024-07-01,HDh,HDh.,Resorts,19248.90
2024-07-01,HDh,HDh.,Hotels,30248.16
2024-07-01,HDh,HDh.,Guesthouse,644.70
2024-08-01,HDh,HDh.,Resorts,283363.60
2024-08-01,HDh,HDh.,Hotels,76761.36
2024-08-01,HDh,HDh.,Guesthouse,276.18
2024-09-01,HDh,HDh.,Resorts,110889.00
2024-09-01,HDh,HDh.,Hotels,122885.28
2024-09-01,HDh,HDh.,Guesthouse,1426.77
2024-10-01,HDh,HDh.,Resorts,134979.44
2024-10-01,HDh,HDh.,Hotels,111000.24
2024-10-01,HDh,HDh.,Guesthouse,3672.00
2024-11-01,HDh,HDh.,Resorts,7881504.96
2024-11-01,HDh,HDh.,Hotels,72599.40
2024-11-01,HDh,HDh.,Guesthouse,210271.37
2024-12-01,HDh,HDh.,Resorts,11419576.21
2024-12-01,HDh,HDh.,Guesthouse,644125.09
2025-01-01,HDh,HDh.,Resorts,333289.17
2025-01-01,HDh,HDh.,Hotels,192739.80
2025-01-01,HDh,HDh.,Guesthouse,16457.01
2025-02-01,HDh,HDh.,Resorts,830309.28
2025-02-01,HDh,HDh.,Hotels,425963.52
2025-02-01,HDh,HDh.,Guesthouse,10506.24
2025-02-01,HDh,HDh.,Vessels,276.48
2025-03-01,HDh,HDh.,Resorts,232225.73
2025-03-01,HDh,HDh.,Hotels,476098.56
2025-03-01,HDh,HDh.,Guesthouse,76017.12
2025-04-01,HDh,HDh.,Resorts,1317133.25
2025-04-01,HDh,HDh.,Hotels,360345.60
2025-04-01,HDh,HDh.,Guesthouse,59552.28
2025-05-01,HDh,HDh.,Resorts,50167.68
2025-05-01,HDh,HDh.,Hotels,174735.36
2025-05-01,HDh,HDh.,Guesthouse,21387.24
2025-06-01,HDh,HDh.,Resorts,2424198.24
2025-06-01,HDh,HDh.,Hotels,89453.40
2025-06-01,HDh,HDh.,Guesthouse,58190.82
2025-07-01,HDh,HDh.,Resorts,368142.24
2025-07-01,HDh,HDh.,Hotels,83182.44
2025-07-01,HDh,HDh.,Guesthouse,14201.88
2025-08-01,HDh,HDh.,Resorts,280348.80
2025-08-01,HDh,HDh.,Hotels,89763.84
2025-08-01,HDh,HDh.,Guesthouse,4518.78
2025-09-01,HDh,HDh.,Resorts,182411.16
2025-09-01,HDh,HDh.,Hotels,171713.64
2025-09-01,HDh,HDh.,Guesthouse,4611.00
2025-10-01,HDh,HDh.,Resorts,359965.40
2025-10-01,HDh,HDh.,Hotels,157142.88
2025-10-01,HDh,HDh.,Guesthouse,8945.34
2025-11-01,HDh,HDh.,Resorts,209032.00
2025-11-01,HDh,HDh.,Hotels,135563.40
2025-12-01,HDh,HDh.,Resorts,454829.04
2025-12-01,HDh,HDh.,Hotels,433434.00
2025-12-01,HDh,HDh.,Guesthouse,10778.22
2025-12-01,HDh,HDh.,Vessels,368.88
2019-01-01,Sh,Sh.,Resorts,309640.20
2019-02-01,Sh,Sh.,Resorts,425679.24
2019-03-01,Sh,Sh.,Resorts,513521.84
2019-04-01,Sh,Sh.,Resorts,329011.20
2019-05-01,Sh,Sh.,Resorts,433336.32
2019-06-01,Sh,Sh.,Resorts,202224.00
2019-07-01,Sh,Sh.,Resorts,193811.52
2019-08-01,Sh,Sh.,Resorts,273254.40
2019-09-01,Sh,Sh.,Resorts,329257.50
2019-10-01,Sh,Sh.,Resorts,190218.24
2019-11-01,Sh,Sh.,Resorts,319771.20
2019-12-01,Sh,Sh.,Resorts,465040.14
2020-01-01,Sh,Sh.,Resorts,510987.60
2020-02-01,Sh,Sh.,Resorts,536371.20
2020-03-01,Sh,Sh.,Resorts,732266.94
2020-04-01,Sh,Sh.,Resorts,172339.20
2020-08-01,Sh,Sh.,Guesthouse,276.48
2020-11-01,Sh,Sh.,Resorts,73314.90
2020-12-01,Sh,Sh.,Resorts,99127.08
2021-01-01,Sh,Sh.,Resorts,381137.64
2021-02-01,Sh,Sh.,Resorts,529096.80
2021-03-01,Sh,Sh.,Resorts,748779.72
2021-04-01,Sh,Sh.,Resorts,868763.64
2021-05-01,Sh,Sh.,Resorts,269193.00
2021-06-01,Sh,Sh.,Resorts,570281.40
2021-07-01,Sh,Sh.,Resorts,134272.32
2021-08-01,Sh,Sh.,Resorts,650586.72
2021-09-01,Sh,Sh.,Resorts,605169.36
2021-09-01,Sh,Sh.,Guesthouse,7736.40
2021-10-01,Sh,Sh.,Resorts,318979.98
2021-11-01,Sh,Sh.,Resorts,627962.88
2021-12-01,Sh,Sh.,Resorts,804083.28
2022-01-01,Sh,Sh.,Resorts,832619.04
2022-02-01,Sh,Sh.,Resorts,767837.70
2022-03-01,Sh,Sh.,Resorts,234086.40
2022-03-01,Sh,Sh.,Guesthouse,8570.88
2022-04-01,Sh,Sh.,Resorts,917380.68
2022-05-01,Sh,Sh.,Resorts,762680.10
2022-05-01,Sh,Sh.,Guesthouse,6811.02
2022-06-01,Sh,Sh.,Resorts,534211.74
2022-07-01,Sh,Sh.,Resorts,400952.04
2022-08-01,Sh,Sh.,Resorts,600362.34
2022-09-01,Sh,Sh.,Resorts,259059.60
2022-10-01,Sh,Sh.,Resorts,560845.38
2022-10-01,Sh,Sh.,Guesthouse,688.50
2022-11-01,Sh,Sh.,Resorts,599540.88
2022-12-01,Sh,Sh.,Resorts,700693.08
2023-01-01,Sh,Sh.,Resorts,697552.08
2023-02-01,Sh,Sh.,Resorts,798906.18
2023-03-01,Sh,Sh.,Resorts,825996.36
2023-04-01,Sh,Sh.,Resorts,804698.10
2023-05-01,Sh,Sh.,Resorts,797943.00
2023-06-01,Sh,Sh.,Resorts,316973.70
2023-07-01,Sh,Sh.,Resorts,388903.32
2023-08-01,Sh,Sh.,Resorts,424336.38
2023-09-01,Sh,Sh.,Resorts,630565.08
2023-10-01,Sh,Sh.,Resorts,531109.92
2023-10-01,Sh,Sh.,Hotels,228140.28
2023-10-01,Sh,Sh.,Guesthouse,3043.26
2023-11-01,Sh,Sh.,Resorts,555558.42
2023-12-01,Sh,Sh.,Resorts,670619.58
2024-01-01,Sh,Sh.,Resorts,711581.52
2024-02-01,Sh,Sh.,Resorts,747569.82
2024-03-01,Sh,Sh.,Resorts,896007.36
2024-04-01,Sh,Sh.,Resorts,848712.48
2024-04-01,Sh,Sh.,Guesthouse,16177.92
2024-05-01,Sh,Sh.,Resorts,746425.44
2024-07-01,Sh,Sh.,Resorts,374419.44
2024-08-01,Sh,Sh.,Resorts,543070.80
2024-09-01,Sh,Sh.,Resorts,596226.24
2024-10-01,Sh,Sh.,Resorts,273450.84
2024-11-01,Sh,Sh.,Resorts,4317600.24
2024-11-01,Sh,Sh.,Guesthouse,172617.68
2024-11-01,Sh,Sh.,Vessels,2211.18
2024-12-01,Sh,Sh.,Resorts,8153833.64
2024-12-01,Sh,Sh.,Hotels,256627.42
2024-12-01,Sh,Sh.,Guesthouse,205327.28
2024-12-01,Sh,Sh.,Vessels,26465.73
2025-01-01,Sh,Sh.,Resorts,584006.16
2025-02-01,Sh,Sh.,Resorts,1351802.88
2025-03-01,Sh,Sh.,Resorts,1163687.46
2025-04-01,Sh,Sh.,Resorts,939854.52
2025-04-01,Sh,Sh.,Guesthouse,23031.60
2025-05-01,Sh,Sh.,Resorts,1134573.00
2025-05-01,Sh,Sh.,Vessels,276.48
2025-06-01,Sh,Sh.,Resorts,623222.76
2025-07-01,Sh,Sh.,Resorts,649413.24
2025-08-01,Sh,Sh.,Resorts,1156992.12
2025-09-01,Sh,Sh.,Resorts,1445809.79
2025-10-01,Sh,Sh.,Resorts,721529.28
2025-11-01,Sh,Sh.,Resorts,1299933.12
2025-12-01,Sh,Sh.,Resorts,1285177.92
2019-01-01,N,N.,Resorts,2909325.42
2019-01-01,N,N.,Guesthouse,15446.73
2019-02-01,N,N.,Resorts,3750896.28
2019-02-01,N,N.,Guesthouse,23577.48
2019-03-01,N,N.,Resorts,3753603.42
2019-03-01,N,N.,Guesthouse,32373.33
2019-04-01,N,N.,Resorts,3382059.60
2019-04-01,N,N.,Guesthouse,23369.88
2019-05-01,N,N.,Resorts,3212032.20
2019-05-01,N,N.,Guesthouse,21968.28
2019-06-01,N,N.,Resorts,2128126.56
2019-06-01,N,N.,Guesthouse,1519.17
2019-07-01,N,N.,Resorts,1671369.72
2019-07-01,N,N.,Guesthouse,2394.60
2019-08-01,N,N.,Resorts,1795462.50
2019-08-01,N,N.,Guesthouse,11169.15
2019-09-01,N,N.,Resorts,3928838.58
2019-09-01,N,N.,Guesthouse,3584.88
2019-10-01,N,N.,Resorts,1594550.88
2019-10-01,N,N.,Guesthouse,4280.82
2019-11-01,N,N.,Resorts,2632018.32
2019-11-01,N,N.,Guesthouse,4275.63
2019-12-01,N,N.,Resorts,2483482.26
2019-12-01,N,N.,Guesthouse,23786.55
2020-01-01,N,N.,Resorts,3104501.22
2020-01-01,N,N.,Guesthouse,15668.70
2020-02-01,N,N.,Resorts,3492298.08
2020-02-01,N,N.,Guesthouse,33143.52
2020-03-01,N,N.,Resorts,2257417.62
2020-03-01,N,N.,Guesthouse,16656.15
2020-04-01,N,N.,Resorts,1445878.56
2020-04-01,N,N.,Guesthouse,18570.24
2020-05-01,N,N.,Resorts,195266.40
2020-05-01,N,N.,Guesthouse,3409.92
2020-06-01,N,N.,Resorts,186288.96
2020-07-01,N,N.,Resorts,593278.32
2020-08-01,N,N.,Resorts,345391.68
2020-08-01,N,N.,Guesthouse,9618.18
2020-09-01,N,N.,Resorts,228717.72
2020-10-01,N,N.,Resorts,294106.56
2020-11-01,N,N.,Resorts,1068139.20
2020-11-01,N,N.,Guesthouse,3732.48
2020-12-01,N,N.,Resorts,2136097.23
2020-12-01,N,N.,Guesthouse,1932.84
2021-01-01,N,N.,Resorts,3616670.01
2021-01-01,N,N.,Guesthouse,9684.90
2021-02-01,N,N.,Resorts,4117335.30
2021-02-01,N,N.,Guesthouse,12655.50
2021-03-01,N,N.,Resorts,3527293.84
2021-03-01,N,N.,Guesthouse,6797.64
2021-04-01,N,N.,Resorts,3457559.22
2021-04-01,N,N.,Guesthouse,2660.46
2021-05-01,N,N.,Resorts,2477170.20
2021-05-01,N,N.,Guesthouse,5575.68
2021-06-01,N,N.,Resorts,2894199.24
2021-06-01,N,N.,Guesthouse,9116.28
2021-07-01,N,N.,Resorts,1550707.50
2021-07-01,N,N.,Guesthouse,23785.68
2021-08-01,N,N.,Resorts,2333922.24
2021-08-01,N,N.,Guesthouse,5806.08
2021-09-01,N,N.,Resorts,1717891.98
2021-09-01,N,N.,Guesthouse,28873.17
2021-10-01,N,N.,Resorts,1405718.11
2021-10-01,N,N.,Guesthouse,23900.91
2021-11-01,N,N.,Resorts,2227047.07
2021-11-01,N,N.,Guesthouse,3363.84
2021-12-01,N,N.,Resorts,4781989.58
2021-12-01,N,N.,Guesthouse,4727.70
2022-01-01,N,N.,Resorts,5930578.08
2022-01-01,N,N.,Guesthouse,18150.72
2022-02-01,N,N.,Resorts,5871930.99
2022-02-01,N,N.,Guesthouse,22669.92
2022-03-01,N,N.,Resorts,1893843.24
2022-03-01,N,N.,Guesthouse,131395.70
2022-04-01,N,N.,Resorts,5728647.30
2022-04-01,N,N.,Guesthouse,11059.20
2022-05-01,N,N.,Resorts,5513708.28
2022-05-01,N,N.,Guesthouse,7769.88
2022-06-01,N,N.,Resorts,4183166.94
2022-06-01,N,N.,Guesthouse,12722.61
2022-07-01,N,N.,Resorts,3851989.59
2022-07-01,N,N.,Guesthouse,920.40
2022-08-01,N,N.,Resorts,5154574.71
2022-08-01,N,N.,Guesthouse,2332.53
2022-09-01,N,N.,Resorts,5281393.41
2022-10-01,N,N.,Resorts,2711933.94
2022-10-01,N,N.,Guesthouse,8561.52
2022-11-01,N,N.,Resorts,3057056.52
2022-11-01,N,N.,Guesthouse,6632.64
2022-12-01,N,N.,Resorts,5001900.36
2022-12-01,N,N.,Guesthouse,18378.54
2023-01-01,N,N.,Resorts,5637534.73
2023-01-01,N,N.,Guesthouse,17350.20
2023-02-01,N,N.,Resorts,1633711.83
2023-02-01,N,N.,Guesthouse,7783.32
2023-03-01,N,N.,Resorts,9087150.33
2023-03-01,N,N.,Guesthouse,26652.96
2023-04-01,N,N.,Resorts,7243761.79
2023-04-01,N,N.,Guesthouse,12572.88
2023-05-01,N,N.,Resorts,2658949.00
2023-05-01,N,N.,Guesthouse,10610.00
2023-06-01,N,N.,Resorts,5522538.60
2023-06-01,N,N.,Guesthouse,2396.16
2023-07-01,N,N.,Resorts,6771312.75
